"","date","name","category","value"
"1","2000-01-01","Coca-Cola","Beverages",72537
"2","2000-01-01","Microsoft","Technology",70196
"3","2000-01-01","IBM","Business Services",53183
"4","2000-01-01","Intel","Technology",39048
"5","2000-01-01","Nokia","Technology",38528
"6","2000-01-01","GE","Diversified",38127
"7","2000-01-01","Ford","Automotive",36368
"8","2000-01-01","Disney","Media",33553
"9","2000-01-01","McDonald's","Restaurants",27859
"10","2000-01-01","AT&T","Telecommunications",25548
"11","2000-01-01","Marlboro","Tobacco",22110
"12","2000-01-01","Mercedes-Benz","Automotive",21104
"13","2000-01-01","HP","Electronics",20572
"14","2000-01-01","Cisco","Business Services",20067
"15","2000-01-01","Toyota","Automotive",18823
"16","2000-01-01","Citi","Financial Services",18809
"17","2000-01-01","Gillette","FMCG",17358
"18","2000-01-01","Sony","Electronics",16409
"19","2000-01-01","American Express","Financial Services",16122
"20","2000-01-01","Honda","Automotive",15244
"21","2000-01-01","Compaq","Technology",14602
"22","2000-01-01","NESCAFÉ","Beverages",13680
"23","2000-01-01","BMW","Automotive",12969
"24","2000-01-01","Kodak","Electronics",11822
"25","2000-01-01","Heinz","FMCG",11742
"26","2000-01-01","Budweiser","Alcohol",10684
"27","2000-01-01","Xerox","Business Services",9699
"28","2000-01-01","Dell","Electronics",9476
"29","2000-01-01","Gap","Apparel",9316
"30","2000-01-01","Nike","Sporting Goods",8015
"31","2000-01-01","Volkswagen","Automotive",7834
"32","2000-01-01","Ericsson","Electronics",7805
"33","2000-01-01","Kellogg's","FMCG",7357
"34","2000-01-01","Louis Vuitton","Luxury",6887
"35","2000-01-01","Pepsi","Beverages",6636
"36","2000-01-01","Apple","Technology",6594
"37","2000-01-01","MTV","Media",6411
"38","2000-01-01","Yahoo!","Media",6299
"39","2000-01-01","SAP","Business Services",6135
"40","2000-01-01","IKEA","Retail",6031
"41","2000-01-01","Duracell","FMCG",5885
"42","2000-01-01","Philips","Electronics",5481
"43","2000-01-01","Samsung","Technology",5223
"44","2000-01-01","Gucci","Luxury",5149
"45","2000-01-01","Kleenex","FMCG",5144
"46","2000-01-01","Reuters","Media",4876
"47","2000-01-01","AOL","Media",4531
"48","2000-01-01","Amazon","Technology",4528
"49","2000-01-01","Motorola","Electronics",4445
"50","2000-01-01","Colgate","FMCG",4417
"51","2000-01-01","Wrigley","FMCG",4324
"52","2000-01-01","Chanel","Luxury",4141
"53","2000-01-01","adidas","Sporting Goods",3791
"54","2000-01-01","Panasonic","Electronics",3734
"55","2000-01-01","Rolex","Luxury",3561
"56","2000-01-01","Hertz","Automotive",3438
"57","2000-01-01","Bacardi","Alcohol",3187
"58","2000-01-01","BP","Energy",3066
"59","2000-01-01","Moët & Chandon","Alcohol",2799
"60","2000-01-01","Shell","Energy",2786
"61","2000-01-01","Burger King","Restaurants",2701
"62","2000-01-01","Smirnoff","Alcohol",2443
"63","2000-01-01","Barbie","Toys & Games",2315
"64","2000-01-01","Heineken","Alcohol",2218
"65","2000-01-01","Wall Street Journal","Media",2184
"66","2000-01-01","Ralph Lauren","Apparel",1834
"67","2000-01-01","Johnnie Walker","Alcohol",1541
"68","2000-01-01","Hilton","Hospitality",1483
"69","2000-01-01","Jack Daniel's","Alcohol",1480
"70","2000-01-01","Armani","Luxury",1456
"71","2000-01-01","Pampers","FMCG",1400
"72","2000-01-01","Starbucks","Restaurants",1329
"73","2000-01-01","Guinness","Alcohol",1224
"74","2000-01-01","Financial Times","Media",1148
"75","2000-01-01","Benetton","Apparel",1008
"76","2001-01-01","Coca-Cola","Beverages",68945
"77","2001-01-01","Microsoft","Technology",65068
"78","2001-01-01","IBM","Business Services",52752
"79","2001-01-01","GE","Diversified",42396
"80","2001-01-01","Nokia","Technology",35035
"81","2001-01-01","Intel","Technology",34665
"82","2001-01-01","Disney","Media",32591
"83","2001-01-01","Ford","Automotive",30092
"84","2001-01-01","McDonald's","Restaurants",25289
"85","2001-01-01","AT&T","Telecommunications",22828
"86","2001-01-01","Marlboro","Tobacco",22053
"87","2001-01-01","Mercedes-Benz","Automotive",21728
"88","2001-01-01","Citi","Financial Services",19005
"89","2001-01-01","Toyota","Automotive",18578
"90","2001-01-01","HP","Electronics",17983
"91","2001-01-01","Cisco","Business Services",17209
"92","2001-01-01","American Express","Financial Services",16919
"93","2001-01-01","Gillette","FMCG",15298
"94","2001-01-01","Merrill Lynch","Financial Services",15015
"95","2001-01-01","Sony","Electronics",15005
"96","2001-01-01","Honda","Automotive",14638
"97","2001-01-01","BMW","Automotive",13858
"98","2001-01-01","NESCAFÉ","Beverages",13250
"99","2001-01-01","Compaq","Technology",12354
"100","2001-01-01","Oracle","Business Services",12224
"101","2001-01-01","Budweiser","Alcohol",10838
"102","2001-01-01","Kodak","Electronics",10801
"103","2001-01-01","Merck & Co., Inc.","Pharmaceuticals",9672
"104","2001-01-01","Nintendo","Electronics",9460
"105","2001-01-01","Pfizer","Pharmaceuticals",8951
"106","2001-01-01","Gap","Apparel",8746
"107","2001-01-01","Dell","Electronics",8269
"108","2001-01-01","Goldman Sachs","Financial Services",7862
"109","2001-01-01","Nike","Sporting Goods",7589
"110","2001-01-01","Volkswagen","Automotive",7338
"111","2001-01-01","Ericsson","Electronics",7069
"112","2001-01-01","Heinz","FMCG",7062
"113","2001-01-01","Louis Vuitton","Luxury",7053
"114","2001-01-01","Kellogg's","FMCG",7005
"115","2001-01-01","MTV","Media",6599
"116","2001-01-01","Canon","Electronics",6580
"117","2001-01-01","Samsung","Technology",6374
"118","2001-01-01","SAP","Business Services",6307
"119","2001-01-01","Pepsi","Beverages",6214
"120","2001-01-01","Xerox","Business Services",6019
"121","2001-01-01","IKEA","Retail",6005
"122","2001-01-01","Pizza Hut","Restaurants",5978
"123","2001-01-01","Harley-Davidson","Automotive",5532
"124","2001-01-01","Apple","Technology",5464
"125","2001-01-01","Gucci","Luxury",5363
"126","2001-01-01","KFC","Restaurants",5261
"127","2001-01-01","Reuters","Media",5236
"128","2001-01-01","Sun Microsystems","Business Services",5149
"129","2001-01-01","Kleenex","FMCG",5085
"130","2001-01-01","Philips","Electronics",4900
"131","2001-01-01","Colgate","FMCG",4572
"132","2001-01-01","Wrigley","FMCG",4530
"133","2001-01-01","AOL","Media",4495
"134","2001-01-01","Yahoo!","Media",4378
"135","2001-01-01","Avon","FMCG",4369
"136","2001-01-01","Chanel","Luxury",4265
"137","2001-01-01","Duracell","FMCG",4140
"138","2001-01-01","Boeing","Diversified",4060
"139","2001-01-01","Texas Instruments","Technology",4041
"140","2001-01-01","Kraft","FMCG",4032
"141","2001-01-01","Motorola","Electronics",3761
"142","2001-01-01","Levi's","Apparel",3747
"143","2001-01-01","Time","Media",3724
"144","2001-01-01","Rolex","Luxury",3701
"145","2001-01-01","adidas","Sporting Goods",3650
"146","2001-01-01","Hertz","Automotive",3617
"147","2001-01-01","Panasonic","Electronics",3490
"148","2001-01-01","Tiffany & Co.","Luxury",3483
"149","2001-01-01","BP","Energy",3247
"150","2001-01-01","Bacardi","Alcohol",3204
"151","2001-01-01","Amazon","Technology",3130
"152","2001-01-01","Shell","Energy",2844
"153","2001-01-01","Smirnoff","Alcohol",2594
"154","2001-01-01","Moët & Chandon","Alcohol",2470
"155","2001-01-01","Burger King","Restaurants",2426
"156","2001-01-01","Mobil","Energy",2415
"157","2001-01-01","Heineken","Alcohol",2266
"158","2001-01-01","Wall Street Journal","Media",2184
"159","2001-01-01","Barbie","Toys & Games",2037
"160","2001-01-01","Ralph Lauren","Apparel",1910
"161","2001-01-01","FedEx","Logistics",1885
"162","2001-01-01","Nivea","FMCG",1782
"163","2001-01-01","Starbucks","Restaurants",1757
"164","2001-01-01","Johnnie Walker","Alcohol",1649
"165","2001-01-01","Jack Daniel's","Alcohol",1583
"166","2001-01-01","Armani","Luxury",1490
